0.004323x + 11292.81+..~..=11140.325348407598	 8303 Points (+/- 336.3653484075985)	[8/13/2019 - 20:35:19]
0.004272x + 11292.81+..~..=11140.348704007663	 8304 Points (+/- 336.3887040076643)	[8/13/2019 - 20:35:43]
0.004168x + 11292.81+..~..=11140.035877709262	 8306 Points (+/- 336.0758777092633)	[8/13/2019 - 20:36:7]
0.004064x + 11292.81+..~..=11143.058002511229	 8308 Points (+/- 353.06800251122877)	[8/13/2019 - 20:36:32]
0.004011x + 11292.81+..~..=11142.351391196007	 8309 Points (+/- 352.3613911960074)	[8/13/2019 - 20:36:56]
0.003908x + 11292.81+..~..=11141.054109887935	 8311 Points (+/- 329.1041098879341)	[8/13/2019 - 20:37:20]
0.003857x + 11292.81+..~..=11140.461937655302	 8312 Points (+/- 328.51193765530115)	[8/13/2019 - 20:37:45]
0.003756x + 11292.81+..~..=11139.28004935523	 8314 Points (+/- 327.33004935522877)	[8/13/2019 - 20:38:9]
0.003653x + 11292.81+..~..=11143.206635118491	 8316 Points (+/- 339.02663511849096)	[8/13/2019 - 20:38:33]
0.003602x + 11292.81+..~..=11141.84178180118	 8317 Points (+/- 337.66178180118004)	[8/13/2019 - 20:38:58]
0.003499x + 11292.81+..~..=11142.482551654724	 8319 Points (+/- 341.5525516547241)	[8/13/2019 - 20:39:22]
0.003448x + 11292.81+..~..=11141.21187191626	 8320 Points (+/- 340.28187191626057)	[8/13/2019 - 20:39:47]
0.003345x + 11292.81+..~..=11138.991570259273	 8322 Points (+/- 338.06157025927314)	[8/13/2019 - 20:40:11]
0.003293x + 11292.81+..~..=11148.702432801414	 8323 Points (+/- 359.4324328014136)	[8/13/2019 - 20:40:35]
0.003189x + 11292.81+..~..=11132.18154809392	 8325 Points (+/- 342.9115480939199)	[8/13/2019 - 20:41:0]
0.003085x + 11292.81+..~..=11125.818088928447	 8327 Points (+/- 330.25808892844725)	[8/13/2019 - 20:41:24]
0.003033x + 11292.81+..~..=11126.007512863423	 8328 Points (+/- 330.447512863424)	[8/13/2019 - 20:41:48]
0.002930x + 11292.81+..~..=11125.761541418296	 8330 Points (+/- 330.201541418297)	[8/13/2019 - 20:42:13]
0.002877x + 11292.81+..~..=11139.891754703303	 8331 Points (+/- 360.6417547033034)	[8/13/2019 - 20:42:37]
0.002772x + 11292.81+..~..=11136.336351199805	 8333 Points (+/- 357.086351199805)	[8/13/2019 - 20:43:1]
0.002667x + 11292.81+..~..=11127.23293088255	 8335 Points (+/- 341.2229308825499)	[8/13/2019 - 20:43:26]
0.002615x + 11292.81+..~..=11126.422002027899	 8336 Points (+/- 340.4120020278988)	[8/13/2019 - 20:43:50]
0.002511x + 11292.81+..~..=11124.854874493216	 8338 Points (+/- 338.8448744932157)	[8/13/2019 - 20:44:14]
0.002459x + 11292.81+..~..=11125.535658178478	 8339 Points (+/- 341.06565817847877)	[8/13/2019 - 20:44:39]
0.002355x + 11292.81+..~..=11123.878757304183	 8341 Points (+/- 339.4087573041834)	[8/13/2019 - 20:45:3]
0.002250x + 11292.81+..~..=11120.362322889081	 8343 Points (+/- 337.56232288908177)	[8/13/2019 - 20:45:27]
0.002198x + 11292.81+..~..=11119.654418925884	 8344 Points (+/- 336.8544189258846)	[8/13/2019 - 20:45:52]
0.002095x + 11292.81+..~..=11111.813653703413	 8346 Points (+/- 322.11365370341264)	[8/13/2019 - 20:46:16]
0.002044x + 11292.81+..~..=11111.528448445475	 8347 Points (+/- 321.82844844547435)	[8/13/2019 - 20:46:41]
0.001941x + 11292.81+..~..=11110.847702587409	 8349 Points (+/- 321.1477025874083)	[8/13/2019 - 20:47:5]
0.001840x + 11292.81+..~..=11103.733571121169	 8351 Points (+/- 306.983571121169)	[8/13/2019 - 20:47:29]
0.001789x + 11292.81+..~..=11114.174884206592	 8352 Points (+/- 317.42488420659174)	[8/13/2019 - 20:47:54]
0.001688x + 11292.81+..~..=11112.952531024404	 8354 Points (+/- 316.2025310244044)	[8/13/2019 - 20:48:18]
0.001638x + 11292.81+..~..=11113.271599527689	 8355 Points (+/- 317.6415995276893)	[8/13/2019 - 20:48:42]
0.001537x + 11292.81+..~..=11111.812395544479	 8357 Points (+/- 316.18239554447973)	[8/13/2019 - 20:49:7]
0.001436x + 11292.81+..~..=11108.088924398637	 8359 Points (+/- 309.4789243986361)	[8/13/2019 - 20:49:31]
0.001386x + 11292.81+..~..=11107.656131931124	 8360 Points (+/- 309.04613193112345)	[8/13/2019 - 20:49:56]
0.001286x + 11292.81+..~..=11106.725415531666	 8362 Points (+/- 308.12541553166557)	[8/13/2019 - 20:50:20]
0.001236x + 11292.81+..~..=11106.22851839599	 8363 Points (+/- 307.6285183959899)	[8/13/2019 - 20:50:44]
0.001136x + 11292.81+..~..=11105.199524294783	 8365 Points (+/- 306.5995242947829)	[8/13/2019 - 20:51:9]
0.001034x + 11292.81+..~..=11114.309334412417	 8367 Points (+/- 327.24933441241774)	[8/13/2019 - 20:51:33]
0.000983x + 11292.81+..~..=11113.187096382906	 8368 Points (+/- 326.12709638290653)	[8/13/2019 - 20:51:57]
0.000882x + 11292.81+..~..=11115.382443724882	 8370 Points (+/- 332.8524437248816)	[8/13/2019 - 20:52:22]
0.000830x + 11292.81+..~..=11114.177102902066	 8371 Points (+/- 331.64710290206494)	[8/13/2019 - 20:52:46]
0.000728x + 11292.81+..~..=11111.908903889711	 8373 Points (+/- 329.3789038897103)	[8/13/2019 - 20:53:10]
0.000626x + 11292.81+..~..=11109.969507842226	 8375 Points (+/- 328.0195078422257)	[8/13/2019 - 20:53:35]
